_id,date,devid,srcip,srcintfrole,poluuid,dstport,dstmac,tz,authserver,eventtime,sessionid,sentpkt,type,srccountry,duration,dsthwversion,dstosname,policyid,subtype,action,devname,dstip,masterdstmac,dstintf,trandisp,dstdevtype,srcintf,sentbyte,dstfamily,level,policytype,dsthwvendor,priority,vpntype,vd,dstintfrole,appcat,service,proto,srcport,logid,policyname,time,dstcountry,user,rcvdbyte,rcvdpkt,dstserver,nifi_datetime,crlevel,crscore,craction,msg,reason,method,logdesc,ui,sn,status,sentdelta,mastersrcmac,srcmac,srcserver,transip,transport,rcvddelta,srchwvendor,identifier,osname,app,srcname,srcswversion,unauthusersource,unauthuser,srcfamily,devtype,srchwversion,pdstport,psrcport,dstuser,dstswversion,dstunauthuser,dstunauthusersource,replysrcintf,srcuuid,dstuuid,applist,apprisk,incidentserialno,hostname,direction,url,appid,eventtype,vwlname,dstregion,dstcity,vwlid,vwlquality,dstinetsvc,dstreputation,utmaction,countapp,server,vpn,locip,role,useralt,dir,cookies,vpntunnel,remport,result,advpnsc,group,init,assignip,xauthuser,outintf,version,xauthgroup,locport,remip,exch,peer_notif,src_int,policy_id,epoch,dst_int,from,voip_proto,kind,profile,session_id,call_id,src_port,event_id,dst_port,to,scertcname,ip,interface,mac,dhcp_msg,lease,tunnelid,tunneltype,dst_host,scertissuer,espauth,esptransform,out_spi,in_spi
JUsFG58BimBA0eJ54Alp,2026-06-30,FG100FTK23080008,10.171.8.3,lan,,53,,+0200,,1782814024138712284,2387899708,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VLAN410,0,,notice,local-in-policy,,189,,root,undefined,unscanned,DNS,17,55848,0001000014,,12:07:04,Reserved,,0,0,,2026-07-01T00:13:17,,,,,,,,,,,,00:0c:29:95:9c:d9,00:0c:29:95:9c:d9,0,,,,VMware,,Windows,Domain,ITPOME-DC3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEsGG58BimBA0eJ5Bwlz,2026-06-30,FG100FTK23080008,10.171.8.3,lan,,53,,+0200,,1782814024206557084,2387899732,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VLAN410,0,,notice,local-in-policy,,189,,root,undefined,unscanned,DNS,17,53476,0001000014,,12:07:04,Reserved,,0,0,,2026-07-01T00:13:27,,,,,,,,,,,,00:0c:29:95:9c:d9,00:0c:29:95:9c:d9,0,,,,VMware,,Windows,Domain,ITPOME-DC3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUsGG58BimBA0eJ5Bwlz,2026-06-30,FG100FTK23080008,10.171.8.3,lan,,53,,+0200,,1782814024206456984,2387899728,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VLAN410,0,,notice,local-in-policy,,189,,root,undefined,unscanned,DNS,17,53466,0001000014,,12:07:04,Reserved,,0,0,,2026-07-01T00:13:27,,,,,,,,,,,,00:0c:29:95:9c:d9,00:0c:29:95:9c:d9,0,,,,VMware,,Windows,Domain,ITPOME-DC3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sksAG58BimBA0eJ5EwTx,2026-06-30,FG100FTK23080008,172.30.0.160,lan,e0e086cc-e3d3-51f0-8355-f7a89d932643,443,,+0200,FSSO-DC,1782813533809774604,2387497638,100,traffic,Reserved,2425,,,81,forward,accept,Fiorucci-FG-01,52.123.242.225,,wan1,snat,,VLAN30,10886,,notice,policy,,189,,root,wan,unscanned,HTTPS,6,50814,0000000020,Navigazione_Fiorucci,11:58:54,Switzerland,SPEDIZIONI,311948,283,,2026-07-01T00:06:57,,,,,,,,,,,123,6c:4b:90:ea:c5:56,6c:4b:90:ea:c5:56,0,2.117.144.115,50814,156,,,Windows,,ITPOME-WK173,11,kerberos,spedizioni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0sAG58BimBA0eJ5EwTx,2026-06-30,FG100FTK23080008,172.30.16.34,lan,e0e086cc-e3d3-51f0-8355-f7a89d932643,443,,+0200,FSSO-DC,1782813533808994644,2387804914,40,traffic,Reserved,181,,,81,forward,accept,Fiorucci-FG-01,92.123.106.114,,wan1,snat,,VALN80,4890,,notice,policy,,189,,root,wan,unscanned,udp/443,17,60289,0000000013,Navigazione_Fiorucci,11:58:54,Italy,MARCO.MONTANERA,11173,44,,2026-07-01T00:06:57,,,,,,,,,,,,6c:4b:90:b6:c4:2d,6c:4b:90:b6:c4:2d,0,2.117.144.115,60289,,,,Windows,,ITPOME-WP199,11,kerberos,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1UsAG58BimBA0eJ5OwQQ,2026-06-30,FG100FTK23080008,fe80::2d7a:e399:ffd:2336,lan,,5353,,+0200,,1782813533917290844,78052010,0,traffic,,0,,,0,local,deny,Fiorucci-FG-01,ff02::fb,,root,noop,,VLAN30,0,,notice,local-in-policy6,,189,,root,undefined,unscanned,udp/5353,17,5353,0001000014,,11:58:54,,,0,0,,2026-07-01T00:07:07,,,,,,,,,,,,6c:4b:90:ea:c6:44,6c:4b:90:ea:c6:44,0,,,,,,Windows,udp/5353,,11,kerberos,Roberto.D'Antoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10sAG58BimBA0eJ5OwQQ,2026-06-30,FG100FTK23080008,fe80::2d7a:e399:ffd:2336,lan,,5353,,+0200,,1782813533854358445,78052006,0,traffic,,0,,,0,local,deny,Fiorucci-FG-01,ff02::fb,,root,noop,,VLAN30,0,,notice,local-in-policy6,,189,,root,undefined,unscanned,udp/5353,17,5353,0001000014,,11:58:54,,,0,0,,2026-07-01T00:07:07,,,,,,,,,,,,6c:4b:90:ea:c6:44,6c:4b:90:ea:c6:44,0,,,,,,Windows,udp/5353,,11,kerberos,Roberto.D'Antoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70sAG58BimBA0eJ5YgQh,2026-06-30,FG100FTK23080008,fe80::6e0b:5eff:fe0f:881e,lan,,5353,,+0200,,1782813533975182764,78052018,0,traffic,,0,,,0,local,deny,Fiorucci-FG-01,ff02::fb,,root,noop,,VLAN30,0,,notice,local-in-policy6,,189,,root,undefined,unscanned,udp/5353,17,5353,0001000014,,11:58:54,,,0,0,,2026-07-01T00:07:17,,,,,,,,,,,,6c:0b:5e:0f:88:1e,6c:0b:5e:0f:88:1e,0,,,,HP,,Windows,udp/5353,,,,,LaserJet,Printer,MFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8UsAG58BimBA0eJ5YgQh,2026-06-30,FG100FTK23080008,fe80::4a9e:bdff:fece:f949,lan,,5353,,+0200,,1782813533933291365,78052014,0,traffic,,0,,,0,local,deny,Fiorucci-FG-01,ff02::fb,,root,noop,,VLAN30,0,,notice,local-in-policy6,,189,,root,undefined,unscanned,udp/5353,17,5353,0001000014,,11:58:54,,,0,0,,2026-07-01T00:07:17,,,,,,,,,,,,48:9e:bd:ce:f9:49,48:9e:bd:ce:f9:49,0,,,,HP,,Windows,udp/5353,,,,,Color,Printer,MFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CksAG58BimBA0eJ5iQUg,2026-06-30,FG100FTK23080008,fe80::2d7a:e399:ffd:2336,lan,,5353,,+0200,,1782813534012512505,78052022,0,traffic,,0,,,0,local,deny,Fiorucci-FG-01,ff02::fb,,root,noop,,VLAN30,0,,notice,local-in-policy6,,189,,root,undefined,unscanned,udp/5353,17,5353,0001000014,,11:58:54,,,0,0,,2026-07-01T00:07:27,,,,,,,,,,,,6c:4b:90:ea:c6:44,6c:4b:90:ea:c6:44,0,,,,,,Windows,udp/5353,,11,kerberos,Roberto.D'Antoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0sAG58BimBA0eJ5iQUj,2026-06-30,FG100FTK23080008,172.30.16.17,lan,d9b04458-e015-51f0-6a14-a1da4ecedd33,49673,,+0200,,1782813533949791145,2387806486,0,traffic,Reserved,167,,,75,forward,accept,Fiorucci-FG-01,172.16.70.5,,Mac,noop,,VALN80,0,,notice,policy,,189,,root,undefined,unscanned,tcp/49673,6,53647,0000000020,Fiorucci-MAC,11:58:54,Reserved,,0,0,,2026-07-01T00:07:27,,,,,,,,,,,0,6c:4b:90:b6:c3:97,6c:4b:90:b6:c3:97,0,,,0,,,Windows,,ITPOME-WP161,11,,,,,,135,60328,ADM_SUPPORTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEsAG58BimBA0eJ5sAU-,2026-06-30,FG100FTK23080008,10.171.8.3,lan,,53,,+0200,,1782813534086556824,2387828614,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VLAN410,0,,notice,local-in-policy,,189,,root,undefined,unscanned,DNS,17,55005,0001000014,,11:58:54,Reserved,,0,0,,2026-07-01T00:07:37,,,,,,,,,,,,00:0c:29:95:9c:d9,00:0c:29:95:9c:d9,0,,,,VMware,,Windows,Domain,ITPOME-DC3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUsAG58BimBA0eJ5sAU-,2026-06-30,FG100FTK23080008,172.16.70.48,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,502,00:80:67:aa:9d:f2,+0200,FSSO-DC,1782813534048999544,2387828194,8,traffic,Reserved,2,PM5560,Android,77,forward,close,Fiorucci-FG-01,172.30.6.4,00:80:67:aa:9d:f2,VLAN30,noop,Industry,Mac,356,Energy,notice,policy,Schneider,189,ipsecvpn,root,lan,unscanned,HTTPS_and_502,6,62943,0000000013,MAC-Fiorucci,11:58:54,Reserved,ADM_BOSI,282,6,0,2026-07-01T00:07:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PksAG58BimBA0eJ51wVN,2026-06-30,FG100FTK23080008,172.30.19.34,lan,e0e086cc-e3d3-51f0-8355-f7a89d932643,443,,+0200,FSSO-DC,1782813534078992224,2387811414,16,traffic,Reserved,134,,,81,forward,server-rst,Fiorucci-FG-01,20.50.201.201,,wan1,snat,,VLAN60,3195,,notice,policy,,189,,root,wan,unscanned,HTTPS,6,63167,0000000013,Navigazione_Fiorucci,11:58:54,Netherlands,COP_INTERNET,10485,17,,2026-07-01T00:07:47,,,,,,,,,,,3103,e8:b0:c5:5a:50:0a,e8:b0:c5:5a:50:0a,0,2.117.144.115,63167,80,,,Windows,,ITPOME-LT301,11,kerberos,Giuseppe.Dipalma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0sAG58BimBA0eJ51wVN,2026-06-30,FG100FTK23080008,172.30.19.36,lan,e0e086cc-e3d3-51f0-8355-f7a89d932643,443,,+0200,FSSO-DC,1782813534102495125,2387717806,41,traffic,Reserved,810,,,81,forward,accept,Fiorucci-FG-01,40.99.201.178,,wan1,snat,,VLAN60,7069,,notice,policy,,189,,root,wan,unscanned,HTTPS,6,61522,0000000020,Navigazione_Fiorucci,11:58:54,Switzerland,MASSIMO.SENATORE,128521,109,,2026-07-01T00:07:47,,,,,,,,,,,123,d0:c6:37:f8:61:eb,d0:c6:37:f8:61:eb,0,2.117.144.115,61522,156,,,Windows,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WksAG58BimBA0eJ5_gVd,2026-06-30,FG100FTK23080008,10.171.8.3,lan,,53,,+0200,,1782813534105077185,2387828622,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VLAN410,0,,notice,local-in-policy,,189,,root,undefined,unscanned,DNS,17,53464,0001000014,,11:58:54,Reserved,,0,0,,2026-07-01T00:07:57,,,,,,,,,,,,00:0c:29:95:9c:d9,00:0c:29:95:9c:d9,0,,,,VMware,,Windows,Domain,ITPOME-DC3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0sAG58BimBA0eJ5_gVd,2026-06-30,FG100FTK23080008,10.171.8.3,lan,,53,,+0200,,1782813534104946405,2387828618,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VLAN410,0,,notice,local-in-policy,,189,,root,undefined,unscanned,DNS,17,60388,0001000014,,11:58:54,Reserved,,0,0,,2026-07-01T00:07:57,,,,,,,,,,,,00:0c:29:95:9c:d9,00:0c:29:95:9c:d9,0,,,,VMware,,Windows,Domain,ITPOME-DC3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uksIG58BimBA0eJ5Kgpi,2026-06-30,FG100FTK23080008,172.30.19.95,lan,e0e086cc-e3d3-51f0-8355-f7a89d932643,443,,+0200,FSSO-DC,1782814024824677365,2387880808,2,traffic,Reserved,126,,,81,forward,accept,Fiorucci-FG-01,52.97.135.50,,wan1,snat,,VLAN60,92,,notice,policy,,189,,root,wan,unscanned,HTTPS,6,49359,0000000020,Navigazione_Fiorucci,12:07:04,Switzerland,FABIO.PERICOLI,1499,5,,2026-07-01T00:15:47,,,,,,,,,,,92,5c:51:4f:69:45:38,5c:51:4f:69:45:38,0,2.117.144.115,49359,1499,,,Windows,,ITPOME-LT118,10,kerberos,Fabio.Pericoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u0sIG58BimBA0eJ5Kgpi,2026-06-30,FG100FTK23080008,172.16.70.37,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,21,00:40:8c:cd:00:33,+0200,,1782814024859082104,2387899600,14,traffic,Reserved,1,,,77,forward,close,Fiorucci-FG-01,172.30.5.101,00:40:8c:cd:00:33,VLAN30,noop,,Mac,645,,notice,policy,Axis,189,ipsecvpn,root,lan,unscanned,FTP,6,51105,0000000013,MAC-Fiorucci,12:07:04,Reserved,,1006,17,0,2026-07-01T00:15:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1EsIG58BimBA0eJ5UQp1,2026-06-30,FG100FTK23080008,172.30.16.49,lan,,10004,,+0200,,1782814024891637805,2387899836,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VALN80,0,,notice,local-in-policy,,189,,root,undefined,unscanned,udp/10004,17,10004,0001000014,,12:07:04,Reserved,,0,0,,2026-07-01T00:15:57,,,,,,,,,,,,98:a4:4e:86:37:47,98:a4:4e:86:37:47,0,,,,,,Windows,udp/10004,ITPOME-LT313,11,kerberos,simonetta.columbaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1UsIG58BimBA0eJ5UQp1,2026-06-30,FG100FTK23080008,172.30.16.49,lan,,10004,,+0200,,1782814024886309504,2387899832,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VALN80,0,,notice,local-in-policy,,189,,root,undefined,unscanned,udp/10004,17,10004,0001000014,,12:07:04,Reserved,,0,0,,2026-07-01T00:15:57,,,,,,,,,,,,98:a4:4e:86:37:47,98:a4:4e:86:37:47,0,,,,,,Windows,udp/10004,ITPOME-LT313,11,kerberos,simonetta.columbaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90sIG58BimBA0eJ5eAqI,2026-06-30,FG100FTK23080008,172.30.16.49,lan,,22222,,+0200,,1782814024901725945,2387899844,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VALN80,0,,notice,local-in-policy,,189,,root,undefined,unscanned,udp/22222,17,54662,0001000014,,12:07:04,Reserved,,0,0,,2026-07-01T00:16:07,,,,,,,,,,,,98:a4:4e:86:37:47,98:a4:4e:86:37:47,0,,,,,,Windows,udp/22222,ITPOME-LT313,11,kerberos,simonetta.columbaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
